grado,tiempo_promedio_estandar,tiempo_promedio_horner
10,0.360100,0.089200
20,0.472700,0.098300
30,0.710100,0.132400
40,0.998000,0.182400
50,1.341300,0.209700
60,2.333800,0.388400
70,2.007700,0.299500
80,2.499800,0.354400
90,2.896100,0.392500
100,3.778400,0.525000
110,3.435900,0.479400
120,4.808700,0.635800
130,5.254100,0.743800
140,7.099000,0.999000
150,6.282200,1.222700
160,7.252000,0.996800
170,10.118700,1.217200
180,8.892700,1.194300
190,9.495100,1.285900
200,11.230200,1.366800
210,9.154000,1.095600
220,8.929900,1.083700
230,9.293600,1.090300
240,9.940500,1.133200
250,9.928800,1.132200
260,16.580900,1.493500
270,15.399400,1.945600
280,12.395500,1.415900
290,12.171200,1.426900
300,13.244500,1.614300
310,17.195600,1.934300
320,15.442000,1.597500
330,13.595800,1.465900
340,14.487800,1.801400
350,16.841600,1.744800
360,15.325100,1.546700
370,18.907700,1.846900
380,16.667800,1.664100
390,16.645000,1.734000
400,17.210900,1.673900
410,16.506900,1.585300
420,16.113700,1.559500
430,17.161100,1.543100
440,16.687400,1.514900
450,16.184600,1.485700
460,20.991800,2.094500
470,24.694200,2.200400
480,20.816500,1.859500
490,20.503200,1.801100
500,20.219600,1.908600
510,21.125000,1.853800
520,20.829800,2.167100
530,24.131700,1.890000
540,23.689900,3.105700
550,25.753300,1.979600
560,24.488600,2.046900
570,25.571400,2.028800
580,24.859800,1.975000
590,28.747500,2.313600
600,29.038700,2.253000
610,35.099300,2.935900
620,32.092800,2.397700
630,28.770600,2.092400
640,29.917800,2.198800
650,35.118300,2.477500
660,38.032500,2.848300
670,35.063100,2.739500
680,35.437000,2.586700
690,44.137900,3.173400
700,46.175200,3.445400
710,43.597200,3.031300
720,31.330000,2.210600
730,36.339200,2.334800
740,33.826600,2.377600
750,34.143100,2.375300
760,33.325300,2.528300
770,34.059800,2.270600
780,38.485000,3.377500
790,36.282200,2.603000
800,40.084500,2.758100
810,36.071000,2.425600
820,38.316400,2.425800
830,48.943500,3.380000
840,40.518500,2.615800
850,42.346900,2.601000
860,42.815100,2.715900
870,44.453000,2.911200
880,48.792900,3.412900
890,48.685800,3.194900
900,42.674100,2.703100
910,49.192700,3.124400
920,62.538300,5.181600
930,53.118000,3.378300
940,53.924400,3.614900
950,47.785500,2.983700
960,46.884700,2.908200
970,48.425800,2.937700
980,49.070500,2.969300
990,55.745600,3.139200
1000,52.024500,3.185500
